wid,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
3923,renovate,ˈrenəveɪt,NULL,renovates,renovating,renovated,renovated,['v. 修复，翻新（尤指建筑物）；使恢复活力']
3924,rent,rent,rents,rents,renting,rented,rented,"['n. 租金，租用费；（布等上面的）破洞，裂口', 'vt. 租用，租借；出租，将……租给； 可租用，租金为', 'v. 撕裂，扯碎；（声音）响彻，刺破；<文>使心碎（rend 的过去式和过去分词形式）', '【名】  （Rent）（瑞典）伦特（人名）']"
3925,repair,rɪˈpeə(r),repairs,repairs,repairing,repaired,repaired,"['v. 修理，修补；补救，挽救（关系或声誉）；<旧，正式>（结伴）去，赴（repair to）', 'n. 修理，补救；修补过的地方；维修状态，保养情况；<古> 常去；常去的场所']"
3926,repay,rɪˈpeɪ,NULL,repays,repaying,repaid,repaid,['v. 付还，偿还；报答，回报；值得付出（时间、努力等）']
3927,repeat,rɪˈpiːt,repeats,repeats,repeating,repeated,repeated,"['v. 重复，重说；复述，跟读（尤指为学习）；转述，转告；（强调说过的话）再说一遍；重新做，使再次发生；重播；重读，重修；<美>（选举中违法）重复投票；<美>再次成功，两连冠；<英>（吃下的食物因打嗝或消化不良）在口中留下余味；（钟表按要求）连打', 'n. （事件的）重演，重现；重播节目；（同类货物的）再次运送；重复装饰图案；（乐谱的）反复符号，重复段']"
3928,repeatedly,rɪˈpiːtɪdli,NULL,NULL,NULL,NULL,NULL,['adv. 重复地，再三地']
3929,repel,rɪˈpel,NULL,repels,repelling,repelled,repelled,['v. 击退，驱逐；抵御，驱除；使厌恶，使反感；抵制，不愿接受；排斥，相斥']
3930,repertoire,ˈrepətwɑː(r),repertoires,NULL,NULL,NULL,NULL,['n. （表演者或表演团的）全部剧目，全部曲目，全部节目；全部技能（或才能）']
3931,repetition,ˌrepəˈtɪʃn,repetitions,NULL,NULL,NULL,NULL,['n. 重复，重说，重做； 重做的事，重说的话；重复的事物，复制品；（乐）（章节或音节的）反复；<古>教师指定的背诵材料']
3932,replace,rɪˈpleɪs,NULL,replaces,replacing,replaced,replaced,['v. 取代；（用……）替换，（以……）接替；更换， 赔还；把......放回原处']
3933,replacement,rɪˈpleɪsmənt,replacements,NULL,NULL,NULL,NULL,['n. 代替，更换；取代（或代替）的人（或物）；补充兵员']
3934,reply,rɪˈplaɪ,replies,replies,replying,replied,replied,"['v. 回答，答复；（以行动）作出回应，回击；（在体育比赛中）以得分回应，回敬', 'n. （口头或书面）回答，答复；回应，作出反应；<英>（比赛）一方得分（进球）但对方未得分（进球）；<法律>（原告对被告抗辩的）驳复，答辩']"
3935,report,rɪˈpɔːt,reports,reports,reporting,reported,reported,"['n. 报告，汇报；新闻报道；官方文件，调查报告；传闻，传说；<英>（学生）成绩报告单；<法律>案情报告；下属；<正式>爆炸声，枪声；<旧>谣言，流传；<古>名誉，名声', 'v. 报道；据说，传闻；述说，报告；公告，公布；举报（罪案）， 报告（事故）；报到；描述（感情、病情等）；<英>（议会委员会主席）正式宣布委员会已讨论（法案）；<美>（议会委员会）将法案交还给议会表决；对（上级或监督者）负责，由......领导；告发，检举', '【名】 （Report）（匈）雷波特（人名）']"
3936,reporter,rɪˈpɔːtə(r),reporters,NULL,NULL,NULL,NULL,['n. 记者，通讯员']
3937,represent,ˌreprɪˈzent,NULL,represents,representing,represented,represented,['v. 代表；为……代言（辩护）；代表（选区、政党、群体）任国会议员（或其他立法机构议员）；代表（国家、学校、城镇等参加比赛）；作为某人的代表（尤指在正式场合或仪式中）；等于，相当于；（符号或象征）代表，表示；象征，体现；展示，描绘；（尤指不真实地）描述，描写；扮演；<正式>明确讲述，清楚说明；声称；正式提出（意见、抗议等）']
3938,representative,ˌreprɪˈzentətɪv,representatives,NULL,NULL,NULL,NULL,"['adj. 典型的，有代表性的；代表各类人（或事物）的；由代表组成的，代议制的；表现的，体现的；（艺术）具象派的；（哲） （与）表象（有关）的', 'n. 代表，代理人；代表他人者；销售代表，销售代理；典型人物，有代表性的事物；（美国）众议院议员；（类或群的）样本，代表物']"
3939,repression,rɪˈpreʃ(ə)n,repressions,NULL,NULL,NULL,NULL,['n. 镇压，压制； 抑制，压抑']
3940,reproach,rɪˈprəʊtʃ,reproaches,reproaches,reproaching,reproached,reproached,"['n. 责备，批评；责备的话语，批评的言辞；丢脸，耻辱；（给……）带来羞辱的人（或事）；使缺陷或弱点更显突出的事物（a reproach to）；谴责曲（Reproaches）', 'v. 谴责，批评']"
3941,reproduce,ˌriːprəˈdjuːs,NULL,reproduces,reproducing,reproduced,reproduced,['v. 复制，翻印；模拟；再制造，再现；繁殖，生殖']
3942,reptile,ˈreptaɪl,NULL,NULL,NULL,NULL,NULL,"['n. 爬行动物；（非正式）卑鄙的人', 'adj. 爬行动物的']"
3943,republic ,rɪˈpʌblɪk,republics,NULL,NULL,NULL,NULL,['n. 共和国，共和政体']
3944,republican,rɪˈpʌblɪkən,republicans,NULL,NULL,NULL,NULL,"['adj. 共和政体的，共和国的；拥护共和政体的，共和主义的；（美国）共和党的，支持共和党的（Republican）；北爱尔兰共和主义者的，支持北爱尔兰共和主义者的（Republican）', 'n. 共和主义者，拥护共和政体者；（美国）共和党人，共和党支持者（Republican）；（主张北爱尔兰应脱离英国成为爱尔兰共和国一部分的）北爱尔兰共和主义者（Republican）']"
3945,reputation,ˌrepjuˈteɪʃn,reputations,NULL,NULL,NULL,NULL,['n. 名誉，名声']
3946,request,rɪˈkwest,requests,requests,requesting,requested,requested,"['n. 要求，请求；要求的事，点播的歌曲；（要求计算机提供信息或执行另一任务的）指令', 'v. <正式>请求，要求；要求（某人）做……，请求（某人）做……；点播（乐曲）']"
3947,require,rɪˈkwaɪə(r),NULL,requires,requiring,required,required,['v. 需要；要求做（某事），规定']
3948,requirement,rɪˈkwaɪəmənt,requirements,NULL,NULL,NULL,NULL,['n. 要求，必要条件；需要（要求）的事物']
3949,rescue,ˈreskjuː,rescues,rescues,rescuing,rescued,rescued,"['v.  营救，援救；拯救，挽救（生意等）；<非正式>防止……丢失（或遭丢弃），取回', 'n.  营救，救援；营救行动']"
3950,research,rɪˈsɜːtʃ; ˈriːsɜːtʃ,researches,researches,researching,researched,researched,"['n. （尤指大学或科研机构进行的）研究，探讨；研究工作，调查工作', 'v. 研究，探索；为……收集资料，调查']"
3951,resemblance,rɪˈzembləns,resemblances,NULL,NULL,NULL,NULL,['n. 相似，相像；相似点，相似之处；相似物']
3952,resemble,rɪˈzemb(ə)l,NULL,resembles,resembling,resembled,resembled,['v. 像，与……相似']
3953,resent,rɪˈzent,NULL,resents,resenting,resented,resented,['v. 怨恨，憎恶']
3954,reservation,ˌrezəˈveɪʃn,reservations,NULL,NULL,NULL,NULL,['n. 保留，保护；（房间，座位等的）预订；（美国印第安人的）居留地，保留地；（野生动物）保护区；<法律>（财产转让的）权益保留；圣餐保留（指弥撒完毕后部分圣餐留给病人或作为礼拜之用）；存疑，保留；（罗马天主教高级圣职人员的）赦罪权的保留；（教皇的）任命权保留']
3955,reserve,rɪˈzɜːv,reserves,reserves,reserving,reserved,reserved,"['v. 预订；保留，预留；拥有，保留（某种权利）；留作，用于（特定场合）；保留（意见），推迟作出（决定或判断）；贮存，贮藏；（教会用语）弥撒仪式后保留部分圣餐', 'n.  储备（量），储藏（量）；含蓄，寡言；保留意见，异议；（野生生物）保护区；替补队员，后备队员；后备队，替补队（the reserves）；预备役部队，后备部队；（尤指拍卖时的）底价，最低价；（美洲土著居民的）居留地；（陶瓷装饰或纺织品印染中保留原色的）防染本色区\n；（陶瓷装饰或纺织品印染中保留原色的）防染本色区', '【名】  （Reserve）（挪、美、法、俄、墨）勒塞尔夫（人名）']"
3956,reservoir,ˈrezəvwɑː(r),reservoirs,NULL,NULL,NULL,NULL,['n. 水库，蓄水池；储藏，蓄积 ；（机器等的）贮液器，贮液槽；（病原体的）储存宿主']
3957,residence,ˈrezɪdəns,residences,NULL,NULL,NULL,NULL,['n. 住宅，住所；居住，定居；（在某国的）居住权，居留许可；（大学的）学生宿舍楼']
3958,resident,ˈrezɪdənt,residents,NULL,NULL,NULL,NULL,"['n. 居民，住户；（旅馆的）住宿者；<美>住院医生；<美> 寄宿制学校学生；<史>（英国政府派驻半独立国家的） 特派代表；驻外特工；留鸟，无迁徙习性的蝴蝶（或其他动物）', 'adj. （在某地）居住的，居留的；常驻的；属于（某个群体）的；（鸟、蝴蝶等）非迁徙性的；（计算机程序、文件等在存储器中）驻留的']"
3959,resign,rɪˈzaɪn,NULL,resigns,resigning,resigned,resigned,['v. 辞（职），放弃（工作或职位）；（使）听任，（使）顺从（~ oneself to）；（国际象棋）放弃，投子认输']
3960,resist,rɪˈzɪst,resists,resists,resisting,resisted,resisted,"['v. 阻挡，抵制；抵抗，回击；耐得住，抵挡；使不受……的伤害，抗（伤害）', 'n. 保护涂层（防染色、着釉等），防染材料']"
3961,resistance,rɪˈzɪstəns,resistances,NULL,NULL,NULL,NULL,['n. 反对，抵制；抵抗，反抗；抵抗力，免疫力；阻力；电阻；（敌占区的）秘密抵抗组织']
3962,resistant,rɪˈzɪstənt,NULL,NULL,NULL,NULL,NULL,"['adj. 抵制的，反抗的；有抵抗力的，不受……损害的', 'n.  抵抗者']"
3963,resolute,ˈrezəluːt,NULL,NULL,NULL,NULL,NULL,['adj. 坚决的，果断的']
3964,resolution,ˌrezəˈluːʃn,resolutions,NULL,NULL,NULL,NULL,['n. 决议，正式决定；（冲突、问题等的）解决，解决办法；决心，决定；坚决，果断；（电视、照相机、显微镜等的）清晰度，分辨率；（故事中主要矛盾的）冲突解开；（乐）解决（指和声中不协和音向协和音的进行）；（医）（炎症或其他症状的）消散，消退；（化）分解；（物理）（力或其他矢量的）分解']
3965,resolve,rɪˈzɒlv,resolves,resolves,resolving,resolved,resolved,"['v. 解决（问题或困难）；决定，下定决心；作出决议，表决；分解，转化；（使）（症状、病情）消散，消退；解析，解离；分析；（不协和音）转向协和；（当远处物体看得更清楚时）变成；（光学仪器等）分辨；辨析（图表或光谱峰值）', 'n. <正式>决心，坚定的信念；<美>正式决定，决议；决定要做的事']"
3966,resort,rɪˈzɔːt,resorts,resorts,resorting,resorted,resorted,"['n. 旅游胜地，度假胜地；求助的方法，采用的手段；采用，诉诸，求助', 'v. 诉诸，求助于；<正式>常去，（成群结队地）去']"
3967,resource,rɪˈsɔːs,resources,resources,resourcing,resourced,resourced,"['n. 自然资源；资源（指钱、物、人等）；有助于实现目标的东西，资料；（对付困境所需的）个人素质（resources）；（逆境中的）出路，应付办法；<正式> 谋略，智谋', 'v. 向……提供资金（或设备）']"
3968,respect,rɪˈspekt,respects,respects,respecting,respected,respected,"['n. 尊敬，敬重；重视，尊重；方面，着眼点；问候，敬意（respects）', 'v. 尊敬，敬佩；慎重对待，尊重；遵守；避免破坏（或干扰）', 'int. <非正式> 真了不起（因敬重或赞同而发出的感叹）']"
3969,respective,rɪˈspektɪv,NULL,NULL,NULL,NULL,NULL,['adj. 分别的，各自的']
3970,respond,rɪˈspɒnd,responds,responds,responding,responded,responded,"['v. （口头或书面）回答，回应；作出反应，回应；（对某种治疗）有良好反应；（桥牌）（对同伴的叫牌）作应叫；（会众对牧师）应答，唱和；承担责任', 'n. （教堂用语）应答，唱和；（建筑）壁联（与墙相连支承拱的半柱或半墩，尤指在拱廊两端）']"
3971,response,rɪˈspɒns,responses,NULL,NULL,NULL,NULL,['n. 反应，响应；（口头或书面的）回复，答复；（考试题的）答案；（教堂中人们对牧师所说的话作出的）唱和，应答']
3972,responsibility,rɪˌspɒnsəˈbɪləti,responsibilities,NULL,NULL,NULL,NULL,['n. 责任，负责；（对不良事件所负的）责任；（道义上或法律规定的）责任（responsibility to/towards）；职责，任务；重任，职权']
3973,responsible,rɪˈspɒnsəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. （对某人、某事）负责的；（对事故、错误、罪行等）负有责任的，应承担责任的；（工作或职位）重要的，责任重大的；可靠的，负责任的；作为缘由的，应受归咎的；向......负责的，向......汇报的']
3974,rest,rest,rests,rests,resting,rested,rested,"['v. 休息，歇息；使（运动员）暂时离队； （问题，事情）被搁置；（被）支撑，（使）倚靠；安息，长眠；在于，存放于；（目光）停留（rest on）；依靠，仰仗（rest on/upon）；寄（希望）于，相信；让（土地）休耕；（原告或被告）完成向法庭提出证据（或辩论）；保持不变；<英>（演员）无戏可演', 'n. 休息（时间）；剩余部分，余下的人（物）（the rest）；静止，停止；（音乐的）休止，休止符；（演说或诗句的）停顿；撑架，支座；（剖）（器官或组织的）一小碎块；（网球）对打，回合', '【名】 （Rest）（美）雷斯特（人名）']"
3975,restaurant,ˈrestrɒnt,restaurants,NULL,NULL,NULL,NULL,['n. 餐馆，饭店']
3976,restless,ˈrestləs,NULL,NULL,NULL,NULL,NULL,['adj. 坐立不安的，不耐烦的；不满足现状的，求变的；得不到休息的，没有睡眠的']
3977,restore,rɪˈstɔː(r),NULL,restores,restoring,restored,restored,['v. 恢复（某种情况或感受）；使复原，使复位；修复，整修；重新采用，恢复使用；归还']
3978,restrain,rɪˈstreɪn,NULL,restrains,restraining,restrained,restrained,['v. 制止，阻止；克制，抑制；控制（某事物）；剥夺……的行动自由（或人身自由），管押；（安全带）缚住（人或其身体部位）']
3979,restraint,rɪˈstreɪnt,restraints,NULL,NULL,NULL,NULL,['n. 克制，抑制；控制，限制；管制措施，制约因素；<正式>（武力）阻止，制止；座椅安全带，安全装置；（尤指艺术表达中的）低调处理']
3980,restrict,rɪˈstrɪkt,NULL,restricts,restricting,restricted,restricted,['v. 限制，控制（大小、数量、范围）；限制（活动或行为），妨碍；约束，管束；（以法规）限制；封锁（消息）']
3981,result,rɪˈzʌlt,results,results,resulting,resulted,resulted,"['n. 结果，后果；（比赛或选举的）结果；（通过调查、研究、计算而获得的）结果；<英> 考试成绩；成效，成果（results）；经营业绩（results）；<英，非正式>（体育比赛中）胜局，获胜', 'v. 发生，产生；导致，造成（注明的结局或结果）', 'int. <非正式> 成功了！（Result!）']"
3982,resultant,rɪˈzʌltənt,resultants,NULL,NULL,NULL,NULL,"['adj. <正式>由此引起的，因而发生的', 'n. 合力，合成速率，合成矢量；结果']"
3983,resume,rɪˈzjuːm,resumes,resumes,resuming,resumed,resumed,"['v. 恢复（职位），回到（座位）；继续说，接着说；概述；（中断后）重新开始，继续', 'n. 梗概，摘要（résumé或resumé）；<美>简历，履历（résumé或resumé）']"
3984,retail,ˈriːteɪl; rɪˈteɪl,NULL,retails,retailing,retailed,retailed,"['n. 零售', 'v. 零售；以……价格销售；详说，述说（尤指别人的事情）', 'adv. 以零售方式', 'adj. 零售的', '【名】 （Retail）（印）勒塔伊（人名）']"
3985,retain,rɪˈteɪn,NULL,retains,retaining,retained,retained,['v. 保持，保留；保存，储存；记住；付定金聘定（尤指律师）；留用（员工）']
3986,retention,rɪˈtenʃ(ə)n,NULL,NULL,NULL,NULL,NULL,['n. 保持，保留；保存，存放；保持力，持续力；记忆力；（热量的）阻滞，（液体的）潴留；（对物质的）吸收和保持']
3987,retire,rɪˈtaɪə(r),NULL,retires,retiring,retired,retired,"['v. （令）退职，（使）退休；（专业运动员）退役；（因受伤、生病而）退出比赛；使（击球手）出局；<正式> 退出，离开（去安静的地方）；<文> 睡觉，就寝；（陪审团）退庭表决；<正式>（军队）撤退；命令（部队）撤退；停止使用，使报废；收回（票据，纸币），使停止流通；清偿，付清（债务）', 'n. 退休，退隐']"
3988,retort,rɪˈtɔːt,retorts,retorts,retorting,retorted,retorted,"['v. （愤怒或风趣地）反驳，回嘴；<古>对（侮辱，伤害）进行报复；利用（对方的论据）反驳对方；蒸馏，干馏', 'n. 反驳，回嘴；曲颈瓶，蒸馏器']"
3989,retreat,rɪˈtriːt,retreats,retreats,retreating,retreated,retreated,"['v. （军队）撤退；后退，离开；（水、雪或土地）范围缩小；隐退，躲避；悔棋；改变意见，改变看法；（股价）下挫，下跌；向后倾', 'n. 撤军，撤兵；后退，离开；退隐处，静居处；（主意、观点、决定的）改变；（股票）贬值；静修期间（或活动）']"
3990,retrieve,rɪˈtriːv,retrieves,retrieves,retrieving,retrieved,retrieved,"['v. 找回，收回；检索（储存于计算机的信息）；（狗等）衔回（物品、猎物）；挽救，挽回；回忆，追忆；收绕钓鱼线', 'n. （尤指中枪猎物的）找回；收绕钓鱼线；<古> 恢复的可能性；检索']"
3991,retrospect,ˈretrəspekt,retrospects,retrospects,retrospecting,retrospected,retrospected,"['n. 回顾，回想', 'v. 回顾，追溯']"
3992,return,rɪˈtɜːn,returns,returns,returning,returned,returned,"['v. 回来，回去；归还，退还；回报，回应；（感觉或情况）重新出现，恢复；重新开始，继续（某项活动）；带来，产生（利润或损失）；回击，击回； 宣告（裁决）；选举，选出；（建筑）（尤指成直角）转延（墙壁）；（高尔夫）打后九穴；（美橄）截获（对方传、踢或漏球）反攻；（桥牌）（尤指同伴所攻出的同花色牌赢墩后）跟着打出，回出；把（空瓶或空罐头盒）送到回收站', 'n. 回来，返回；归还，退回；重新开始，恢复；回报，收益；<英> 往返票，来回票；返回键，回车键；（选举）结果；（网球等）回击球；（纳税）申报表，申报单；（建筑）转延，转延侧面；回路导线；被退回（或送回）的东西，退票；（可以回收的）空罐头盒，空瓶子（returns）', 'adj. （票）双程的，往返的；（旅途）返回的，返程的；（比赛）回访的；再度的，再次的']"
3993,reveal,rɪˈviːl,reveals,reveals,revealing,revealed,revealed,"['v. 揭示，透露；表明，证明；展示，显示；（通过神或超自然手段）启示', 'n. （电视节目最后的）揭示；门侧，窗侧']"
3994,revelation,ˌrevəˈleɪʃ(ə)n,revelations,NULL,NULL,NULL,NULL,['n. 被揭示的真相，被揭露的内情；揭露，披露；出乎意料的事物，令人惊喜的发现；（上帝的）启示，默示；《启示录》（《圣经·新约》末卷，讲述上帝对圣约翰有关未来的启示）（Revelation）']
3995,revenge,rɪˈvendʒ,revenges,revenges,revenging,revenged,revenged,"['n. 报复，报仇；报复欲望，复仇心；雪耻（指在比赛中战胜曾击败自己的对手）', 'v. 复仇，报复；替（人）报仇；报（被冤枉，被伤害）之仇，洗雪（侮辱）']"
3996,revenue,ˈrevənjuː,revenues,NULL,NULL,NULL,NULL,['n. （企业、组织的）收入，收益；（政府的）税收；税务局，税务署（the revenue）']
3997,reverse,rɪˈvɜːs,reverses,reverses,reversing,reversed,reversed,"['v. 逆转，彻底改变（决定、政策、趋势等）；撤销，推翻（法庭判决）；颠倒，反转；交换，互换（位置、功能）；<美>承认错误，放弃（立场）；倒（车）；（发动机）反向运转；<英>打对方付费的电话；使（铅字，图案）印成白或浅色', 'n. 相对，相反（the reverse）；逆向，逆转；倒车挡；<正式>失败，挫折；反面，背面；（翻开的书）左手页，（活页文件的）背面；（硬币或奖牌）反面图案（或刻字）；（美式橄榄球）反向传球，变位传球', 'adj. 相反的，反向的；背面的，反面的；（半导体结的外加电压）反向的；（地层）逆断的，冲断的；反身的']"
3998,review,rɪˈvjuː,reviews,reviews,reviewing,reviewed,reviewed,"['n. 审查，检查；评论，评论文章；（时事、艺术等的）评论期刊；述评，回顾；<美>复习，温习；<美>（一门课程的）材料，练习；阅兵，阅兵式；中止快速倒带（或卷带）重放装置', 'v. 仔细研究，审视；给（书、戏剧、电影等）写评论；回顾，反思；<美>（为考试而）复习，温习；<美>校阅，审核；<英>复查（病人）；检阅（军队）；<法律>将（判决、案件等）提交上级法院（或权力机构）复审']"
3999,revise,rɪˈvaɪz,revises,revises,revising,revised,revised,"['v. 改变，修正；修改，修订（书刊、估算等）；<英>温习，复习', 'n. 修订，校订；（印刷）改样', '【名】 （Revise）（法）勒维斯（人名）']"
4000,revive,rɪˈvaɪv,NULL,revives,reviving,revived,revived,['v. （使）复原，（使）复苏；重新唤起，重新记起；重新使用，使复兴；重新上演']
4001,revolt,rɪˈvəʊlt,revolts,revolts,revolting,revolted,revolted,"['n. （对权威、规定、法律的）反抗，违抗；叛乱，造反', 'v. 叛乱，造反；反抗，拒绝服从（权威、规定或法律）；使反感，使震惊']"
4002,revolution,ˌrevəˈluːʃn,revolutions,NULL,NULL,NULL,NULL,['n. （思想、工作方式等的）彻底变革；（使用武力、暴力的）革命；旋转；旋转一周；（马克思主义）共产主义革命（The Revolution）；循环']
4003,revolutionary,ˌrevəˈluːʃənəri,revolutionaries,NULL,NULL,NULL,NULL,"['adj. 革命的；革命性的，突破性的', 'n. 革命者，革命家']"
4004,revolve,rɪˈvɒlv,NULL,revolves,revolving,revolved,revolved,"['v. （使）旋转；围绕……旋转（revolve around）；以……为最重要内容，以……为中心（revolve around）；反复思考，反复斟酌；循环出现', 'n. 旋转舞台']"
4005,reward,rɪˈwɔːd,rewards,rewards,rewarding,rewarded,rewarded,"['n. 奖励，回报；赏格，悬赏金；报偿，报应', 'v. 酬谢，奖赏；奖励（行动，品质）；（理所当然地）获得，赢得（be rewarded）；值得（付出时间或精力）']"
4006,rhythm,ˈrɪðəm,rhythms,NULL,NULL,NULL,NULL,['n. （声音或运动的）节奏，韵律，节拍；节奏感；规则变化，节律；（艺术作品的）匀称，和谐；（韵文或散文）抑扬节奏']
4007,rib,rɪb,ribs,ribs,ribbing,ribbed,ribbed,"['n. 肋骨；排骨（肉），肋条（肉）；肋骨状物（构成船、房顶等骨架的金属或木质等）；（编织）罗纹，罗纹花样；叶的脉纹（尤指叶的主脉），（昆虫的）翅脉；（岩石的）脉纹，（田地上的）垄', 'v. <旧，非正式>（友善地）开……的玩笑，取笑；形成拢起的条纹（或脊坡）；装肋于']"
4008,ribbon,ˈrɪbən,ribbons,ribbons,ribboning,ribboned,ribboned,"['n. 丝带，绸带；（表示军功的）绶带，勋带；（作为比赛奖品的）绶带；（表明支持某一组织、原则或目标而配带的）饰带；带状物，狭长的东西；（打字机用的）色带；碎片（ribbons）；奖品，荣誉', 'v. 成带状延伸（或运动）；把…撕成条带；用缎带装饰']"
4009,rice,raɪs,rices,rices,ricing,riced,riced,"['n. 稻；米饭', 'vt. 把……捣成米糊状', 'n. （Rice）人名；（瑞典）里瑟；（塞）里采；（英）赖斯']"
4010,rich,rɪtʃ,riches,NULL,NULL,NULL,NULL,"['adj. 有钱的，富有的；富含……的，丰富的；非常有趣的，丰富多彩的；（食物）油腻的；（色彩、气味）浓郁的，（声音）浑厚的；肥沃的，丰产的；华丽昂贵的；<非正式>（指某人的评论或批评）荒唐的，可笑的；值钱的，生财的；（内燃机内的混合燃料）可燃性成分高的', '【名】 （Rich）（丹）里克，（捷）里赫，（英、西）里奇，（葡、法）里什（人名）']"
4011,rid,rɪd,NULL,rids,ridding,rid或ridded,rid或ridded,"['v. 使……去掉，使……去除；摆脱，消除', 'adj. 得到解脱的', '【名】 （Rid）（俄、德、英、美）里德（人名）']"
4012,riddle,ˈrɪd(ə)l,riddles,riddles,riddling,riddled,riddled,"['n. 谜语；谜一般的人（或事）；（筛分土石的）粗筛', 'v. 猜（某人）出的（谜），为（某人）解（谜）；<古> 打谜语般地说，出谜；把……打得满是窟窿；（尤指令人不快之事）充斥，布满；用粗筛筛；摇动（炉栅）使灰落下', '【名】 （Riddle）（美、英、加）里德尔（人名）']"
4013,ride,raɪd,rides,rides,riding,rode或rid,ridden或rid或rode,"['v. 骑（马、摩托车、自行车等）；搭乘（公共汽车、火车或电梯等）；乘坐（游乐园里的娱乐设施）；航行，（在水中或空中）漂浮；（骑马、自行车等）穿越，翻越；<美>数落，嘲弄；驾驭，试图控制某人并强迫其工作；依赖于，取决于（ride on）；被（冲力巨大的东西）带走，得益于；充满，被……所支配（be ridden）；（骑马或车）参赛；<南非>运输（货物）；（车辆、牲口等）适于乘坐；<非正式> 开车载（人）；突伸，重叠；顺势退躲以缓冲（击打）；<俚> 与……性交', 'n. （骑马、骑车或乘坐车辆的）旅行，行程；供乘骑的游乐设施，乘坐（游乐设施）；免费搭车；<美> 搭载别人者；<美，非正式> 机动车辆；（车辆的）行车质量，乘坐感觉；（尤指林中的）骑马道；<加拿大>骑马表演（一种娱乐形式）；<俚> 性交，交媾；节奏钹（=ride cymbal）', '【名】  (Ride) （英、美、法）赖德（人名）']"
4014,ridge,rɪdʒ,ridges,ridges,ridging,ridged,ridged,"['n. 山脊，山脉；屋脊；隆起部分，脊状突起；（大气层的）高压脊，高压带', 'v. 使隆起，使形成脊状；（表面）成脊状，起皱', '【名】 （Ridge）（英）里奇（人名）']"
4015,ridiculous,rɪˈdɪkjələs,NULL,NULL,NULL,NULL,NULL,['adj. 可笑的，荒谬的']
4016,rifle,ˈraɪfl,rifles,rifles,rifling,rifled,rifled,"['n. 步枪，来复枪；步枪队（rifles）', 'v. 快速搜寻，匆忙翻找；偷窃，盗取；用力掷，猛踢（球）；为（枪、枪管或内膛）凿制来复线']"
4017,right,raɪt,rights,rights,righting,righted,righted,"['adj. 符合道德的，正当的；正确的，真实的；（人、物）合适的，般配的；（意见，判断）对的；右边的，右侧的；（状态或情况）健康的，正常的；<英，非正式> 十足的，真正的（用于强调某人或某物多么糟糕）；正面的，外面的；时尚的，上流社会的；（人或政党）支持保守观点的，右翼的', 'v. 纠正，矫正；补救，扭转；把（尤指小船）扶正，使直立', 'n. 正当，公正；正当的要求，权利；版权，发行权（rights）；右边，右方（the right）；右拐，右转弯；右边的路（或入口）；（足球等运动）右外场；部队的右翼；右翼组织，右派政党（the right/the Right）；右翼人士的立场，右翼立场（the right）；右手拳', 'adv. （地方、位置或时间）正好，就在；直接地，径直地；一直地，完全地；<非正式>立即，毫不耽搁；正确地，确切地；<非正式>顺利，正常；在右面，向右边；（政治上）右倾地；<美>用右手地；彻底地，十足地', 'int. 好的，对（用于表示明白或同意某人的话）；好（用于引起注意）；对吗（用于确认自己说的话是否正确）；（表示不相信或不同意）是吗，好哇；对不对，懂吗（用于确认对方是否在听并明白你说的话）', '【名】 （Right）（英）赖特（人名）']"
4018,rigid,ˈrɪdʒɪd,rigids,NULL,NULL,NULL,NULL,"['adj. （方法、体制等）严格死板的，僵化的；（人）顽固的，不通融的；刚硬的，不易弯曲的；（因强烈的感情而）僵硬的，僵直的；精确的', 'n. 未铰接的货车']"
4019,rigorous,ˈrɪɡərəs,NULL,NULL,NULL,NULL,NULL,['adj. （测试、系统或程序）严密的，缜密的；（规则，制度等）严格的，苛刻的；一丝不苟的；严酷的，恶劣的']
4020,rim,rɪm,rims,rims,rimming,rimmed,rimmed,"['n. （圆形物体的）边沿；（污垢等）一周，一圈；轮辋，轮圈；眼镜框；（篮球的）篮筐，篮圈 ；界，边界', 'v. 形成......的边沿，给......镶边；（一圈）污物（或积垢）；<俚>（为使性兴奋而）舔（或吮）……的肛门', '【名】 （Rim）（俄）里姆（人名）']"
4021,ring,rɪŋ,rings,rings,ringing,ringed或rang,ringed或rung,"['n. 戒指，指环；环状物；环状线，圆形印迹；<英>腿环，足环（系在鸟腿上的铝环，供日后识别用）；（体操运动中的）吊环（rings）；围成一圈的人（或物）； 圆形表演场（或竞技场）；<英>圆形灶盘，炉头；铃声，钟声；按铃，敲钟；电话铃声；<英，非正式>打电话；清脆响亮声；（尤指教堂的）套钟，编钟；（非法交易或犯罪的）团伙，帮派；拳击比赛，摔跤比赛（the ring）；（言语、声音等的）特性；（天文）行星光环；（树木的）年轮（tree ring 的简称）；环路（ring road 的简称）；（考古）环形护城工事；<非正式>肛门；（化学）环；（数学）环', 'v. 包围，围住；<英>绕......画圆，把......圈起来；使成环形；（尤指在动物身上）套环，戴上环套；（使）发出钟声，响起铃声；<英>（给……）打电话；（电话）铃声响；（两耳）鸣响，嗡嗡作响；<文>回响，响彻；听上去（有指明的印象或品质）；充满（ring with）；<非正式>（尤指通过更改车牌号）非法将（汽车）改头换面', '【名】 （Ring） （美、挪、德、爱、英、波、丹）林（人名）']"
